nohup: ignoring input
Epoch~208->train_loss:1.0251, val_loss:1.0536, val_accu:0.5667, lr:0.10830587148666382, conflict:37/208=0.1779
Epoch~209->train_loss:1.0225, val_loss:1.051, val_accu:0.5667, lr:0.10855291783809662, conflict:37/209=0.177
Epoch~210->train_loss:1.0197, val_loss:1.0481, val_accu:0.5667, lr:0.10881288349628448, conflict:37/210=0.1762
Epoch~211->train_loss:1.0167, val_loss:1.0452, val_accu:0.5667, lr:0.10908666253089905, conflict:37/211=0.1754
Epoch~212->train_loss:1.0136, val_loss:1.0421, val_accu:0.5667, lr:0.10937530547380447, conflict:37/212=0.1745
Epoch~213->train_loss:1.0103, val_loss:1.0388, val_accu:0.5667, lr:0.10967989265918732, conflict:37/213=0.1737
Epoch~214->train_loss:1.0069, val_loss:1.0352, val_accu:0.5667, lr:0.11000140011310577, conflict:37/214=0.1729
Epoch~215->train_loss:1.0032, val_loss:1.0316, val_accu:0.5667, lr:0.11034097522497177, conflict:37/215=0.1721
Epoch~216->train_loss:0.9993, val_loss:1.0274, val_accu:0.5667, lr:0.1106996089220047, conflict:37/216=0.1713
Epoch~217->train_loss:0.9951, val_loss:1.0224, val_accu:0.5667, lr:0.1110822856426239, conflict:37/217=0.1705
Epoch~218->train_loss:0.9897, val_loss:1.0181, val_accu:0.5667, lr:0.11149502545595169, conflict:37/218=0.1697
Epoch~219->train_loss:0.985, val_loss:1.0131, val_accu:0.5667, lr:0.1119263544678688, conflict:37/219=0.1689
Epoch~220->train_loss:0.9799, val_loss:1.0079, val_accu:0.5667, lr:0.11238355189561844, conflict:37/220=0.1682
Epoch~221->train_loss:0.9746, val_loss:1.0023, val_accu:0.5667, lr:0.11286832392215729, conflict:37/221=0.1674
Epoch~222->train_loss:0.9689, val_loss:0.9964, val_accu:0.5667, lr:0.11338268220424652, conflict:37/222=0.1667
Epoch~223->train_loss:0.9628, val_loss:0.9902, val_accu:0.5667, lr:0.11392872780561447, conflict:37/223=0.1659
Epoch~224->train_loss:0.9563, val_loss:0.9832, val_accu:0.5667, lr:0.11450827866792679, conflict:37/224=0.1652
Epoch~225->train_loss:0.9493, val_loss:0.9762, val_accu:0.5667, lr:0.11512404680252075, conflict:37/225=0.1644
Epoch~226->train_loss:0.9418, val_loss:0.9663, val_accu:0.5667, lr:0.11578336358070374, conflict:37/226=0.1637
Epoch~227->train_loss:0.9334, val_loss:0.9597, val_accu:0.5667, lr:0.11647753417491913, conflict:37/227=0.163
Epoch~228->train_loss:0.9248, val_loss:0.9497, val_accu:0.5667, lr:0.11721742898225784, conflict:37/228=0.1623
